Territori;year;price_per_m2_rent;total_rent_price;Tipus de territori;total_sale_price;price_per_m2_sale
Barcelona;2012;10,84;720,13;Municipi;214711,06;2460,69
Ciutat Vella;2012;11,66;644,15;Districte;152857,03;2355,4
Eixample;2012;10,75;800,45;Districte;254283,93;2736,31
Sants-Montjuïc;2012;10,76;633,08;Districte;134937,77;1965,15
Les Corts;2012;11,62;867,36;Districte;304987,42;2973,55
Sarrià-Sant Gervasi;2012;12,27;984,44;Districte;427729,85;3339,36
Gràcia;2012;11,39;706,6;Districte;195150,77;2589,84
Horta-Guinardó;2012;10,1;605,92;Districte;163072,34;2214,76
Nou Barris;2012;9,48;551,69;Districte;107074,81;1667,79
Sant Andreu;2012;9,84;626,83;Districte;186972,17;2151,0
Sant Martí;2012;10,48;673,6;Districte;194022,1;2431,74
Barcelona;2013;10,29;681,56;Municipi;198574,02;2247,57
Ciutat Vella;2013;11,38;618,67;Districte;151203,33;2266,12
Eixample;2013;10,24;763,53;Districte;248799,71;2619,38
Sants-Montjuïc;2013;10,1;596,42;Districte;114342,79;1739,24
Les Corts;2013;11,18;826,71;Districte;298032,08;2856,93
Sarrià-Sant Gervasi;2013;11,72;935,47;Districte;417830,38;3104,64
Gràcia;2013;10,95;659,25;Districte;193506,68;2369,04
Horta-Guinardó;2013;9,32;566,51;Districte;131730,84;1769,59
Nou Barris;2013;8,75;513,82;Districte;102857,86;1535,58
Sant Andreu;2013;9,21;578,5;Districte;130541,67;1755,83
Sant Martí;2013;9,87;637,39;Districte;168898,4;2122,19
Barcelona;2014;10,16;688,23;Municipi;212220,89;2304,15
Ciutat Vella;2014;11,38;639,11;Districte;162392,35;2383,56
Eixample;2014;10,28;776,91;Districte;266900,0;2682,9
Sants-Montjuïc;2014;9,89;598,43;Districte;141623,08;1842,97
Les Corts;2014;11,01;853,0;Districte;311094,78;2981,29
Sarrià-Sant Gervasi;2014;11,86;978,02;Districte;418503,69;3108,13
Gràcia;2014;10,77;673,86;Districte;195260,51;2374,33
Horta-Guinardó;2014;9,03;563,76;Districte;135094,05;1776,13
Nou Barris;2014;8,4;499,31;Districte;91864,62;1398,11
Sant Andreu;2014;8,86;575,16;Districte;130934,07;1823,08
Sant Martí;2014;9,75;640,81;Districte;186955,85;2168,54
Barcelona;2015;11,09;734,94;Municipi;225424,08;2557,81
Ciutat Vella;2015;12,45;675,74;Districte;180449,54;2705,46
Eixample;2015;11,18;831,44;Districte;279851,64;2983,03
Sants-Montjuïc;2015;10,66;624,52;Districte;150443,63;2165,93
Les Corts;2015;11,97;925,45;Districte;317182,57;3076,46
Sarrià-Sant Gervasi;2015;12,96;1051,23;Districte;490866,27;3508,59
Gràcia;2015;11,82;721,65;Districte;196876,99;2574,77
Horta-Guinardó;2015;9,92;586,85;Districte;148992,98;2069,91
Nou Barris;2015;8,87;518,8;Districte;128125,18;1759,36
Sant Andreu;2015;9,61;611,0;Districte;158527,25;1990,36
Sant Martí;2015;10,64;700,56;Districte;201206,8;2480,66
Barcelona;2016;12,22;801,28;Municipi;231972,37;2712,51
Ciutat Vella;2016;13,9;739,23;Districte;206035,37;2988,75
Eixample;2016;12,39;917,27;Districte;307582,42;3380,77
Sants-Montjuïc;2016;11,66;678,78;Districte;162704,56;2353,76
Les Corts;2016;13,17;985,94;Districte;319008,9;3283,75
Sarrià-Sant Gervasi;2016;14,31;1144,71;Districte;503590,87;3749,52
Gràcia;2016;12,95;787,86;Districte;228762,87;2928,47
Horta-Guinardó;2016;10,73;640,15;Districte;147181,35;2037,88
Nou Barris;2016;9,65;561,07;Districte;104819,71;1621,14
Sant Andreu;2016;10,39;644,91;Districte;145879,13;1994,0
Sant Martí;2016;11,74;771,41;Districte;190161,43;2458,14
Barcelona;2017;13,36;877,28;Municipi;267845,45;3139,32
Ciutat Vella;2017;15,46;828,79;Districte;230449,35;3457,0
Eixample;2017;13,43;990,73;Districte;368664,69;3868,65
Sants-Montjuïc;2017;12,92;763,17;Districte;196843,73;2798,73
Les Corts;2017;14,22;1052,3;Districte;392211,01;3840,82
Sarrià-Sant Gervasi;2017;15,43;1227,89;Districte;546217,87;4310,4
Gràcia;2017;14,25;856,42;Districte;285943,15;3444,97
Horta-Guinardó;2017;11,88;706,63;Districte;174532,89;2464,15
Nou Barris;2017;10,55;625,51;Districte;126164,24;1916,49
Sant Andreu;2017;11,36;705,66;Districte;178243,51;2419,23
Sant Martí;2017;12,9;842,33;Districte;239498,88;3001,09
Barcelona;2018;13,42;929,57;Municipi;285056,11;3377,95
