location,price,size,rooms,price/m2,bathrooms,type,region
Abrera,397260,357,5,1112.77,2,Piso,baix_llobregat
Abrera,330000,140,4,2357.14,3,Piso,baix_llobregat
Abrera,289000,189,6,1529.1,3,Casa,baix_llobregat
Abrera,165000,72,3,2291.67,1,Casa,barcelona
Abrera,355000,200,5,1775.0,2,Casa,baix_llobregat
Abrera,432000,156,4,2769.23,2,Casa,baix_llobregat
Abrera,270000,269,3,1003.72,1,Piso,baix_llobregat
Abrera,165000,72,3,2291.67,1,Piso,baix_llobregat
Abrera,245000,336,4,729.17,3,Piso,baix_llobregat
Abrera,250000,182,3,1373.63,2,Casa,baix_llobregat
Abrera,219000,110,3,1990.91,1,Casa,baix_llobregat
Abrera,250000,182,3,1373.63,2,Piso,baix_llobregat
Abrera,249000,171,4,1456.14,2,Casa,baix_llobregat
Abrera,371000,135,5,2748.15,2,Casa,baix_llobregat
Abrera,257000,155,4,1658.06,2,Casa,barcelona
Abrera,413000,280,4,1475.0,4,Casa,baix_llobregat
Abrera,247000,100,4,2470.0,2,Casa,barcelona
Abrera,397260,357,5,1112.77,2,Casa,baix_llobregat
Abrera,241000,150,4,1606.67,3,Casa,baix_llobregat
Abrera,352000,175,4,2011.43,2,Piso,barcelona
Abrera,247000,165,3,1496.97,3,Piso,baix_llobregat
Abrera,220000,122,5,1803.28,2,Piso,baix_llobregat
Abrera,260000,140,4,1857.14,2,Piso,baix_llobregat
Abrera,391000,128,6,3054.69,2,Casa,baix_llobregat
Abrera,280890,121,3,2321.4,1,Piso,baix_llobregat
Abrera,280000,274,4,1021.9,3,Piso,baix_llobregat
Abrera,315000,139,4,2266.19,4,Casa,barcelona
Abrera,381000,292,5,1304.79,2,Casa,baix_llobregat
Abrera,330000,252,5,1309.52,4,Casa,baix_llobregat
Abrera,220000,124,3,1774.19,1,Casa,barcelona
Abrera,194000,180,3,1077.78,1,Piso,baix_llobregat
Abrera,420000,338,4,1242.6,2,Piso,baix_llobregat
Abrera,300000,280,5,1071.43,2,Piso,baix_llobregat
Abrera,249000,115,4,2165.22,2,Piso,baix_llobregat
Abrera,308000,160,4,1925.0,3,Piso,baix_llobregat
Abrera,300000,280,5,1071.43,2,Casa,baix_llobregat
Abrera,369000,395,5,934.18,4,Piso,baix_llobregat
Abrera,369000,395,5,934.18,4,Casa,baix_llobregat
Abrera,352000,175,4,2011.43,2,Casa,barcelona
Abrera,180000,110,4,1636.36,1,Piso,baix_llobregat
Abrera,432000,156,4,2769.23,2,Piso,baix_llobregat
Abrera,280000,274,4,1021.9,4,Casa,baix_llobregat
Abrera,369000,390,5,946.15,4,Casa,baix_llobregat
Abrera,280890,121,3,2321.4,1,Casa,baix_llobregat
Abrera,377000,195,4,1933.33,3,Piso,barcelona
Abrera,349900,223,3,1569.06,3,Piso,barcelona
Abrera,270000,269,3,1003.72,1,Casa,barcelona
Abrera,250890,107,3,2344.77,3,Piso,baix_llobregat
Abrera,297000,360,3,825.0,2,Casa,barcelona
Abrera,280000,150,3,1866.67,3,Casa,barcelona
Abrera,330000,195,4,1692.31,3,Piso,baix_llobregat
Abrera,290000,154,4,1883.12,2,Casa,barcelona
Abrera,280000,274,4,1021.9,3,Casa,baix_llobregat
Abrera,240000,95,4,2526.32,2,Piso,baix_llobregat
Abrera,310000,90,3,3444.44,2,Piso,baix_llobregat
Abrera,290000,154,4,1883.12,2,Piso,baix_llobregat
Abrera,280000,150,3,1866.67,3,Piso,baix_llobregat
Abrera,120000,78,4,1538.46,1,Piso,baix_llobregat
Abrera,247000,100,4,2470.0,2,Piso,baix_llobregat
Abrera,257000,155,4,1658.06,2,Piso,baix_llobregat
Abrera,352000,180,3,1955.56,3,Casa,barcelona
Abrera,290000,165,3,1757.58,2,Casa,barcelona
Abrera,240000,181,4,1325.97,2,Casa,barcelona
Abrera,220000,124,3,1774.19,1,Piso,barcelona
Abrera,410000,196,5,2091.84,2,Casa,barcelona
Abrera,358000,219,5,1634.7,3,Casa,barcelona
Abrera,248000,120,3,2066.67,2,Casa,barcelona
Abrera,246000,156,3,1576.92,2,Casa,barcelona
Abrera,330000,195,4,1692.31,3,Casa,barcelona
Abrera,315000,139,4,2266.19,4,Piso,barcelona
Abrera,220000,122,5,1803.28,2,Casa,barcelona
Abrera,247000,165,3,1496.97,3,Casa,barcelona
Abrera,260890,155,4,1683.16,2,Fincas_rustica,barcelona
Abrera,380000,343,5,1107.87,2,Piso,barcelona
Abrera,260000,140,4,1857.14,2,Casa,barcelona
Abrera,158000,53,2,2981.13,1,Piso,baix_llobregat
Abrera,241000,150,4,1606.67,3,Piso,baix_llobregat
Abrera,280000,275,4,1018.18,3,Piso,baix_llobregat
Abrera,330890,175,4,1890.8,3,Casa,barcelona
