Territori,Tipus de territori,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Barcelona,Municipi,214711.06,198574.02,212220.89,225424.08,231972.37,267845.45,285056.11,284091.75,286149.93,291944.04,317640.77,324469.29,336801.65
Ciutat Vella,Districte,152857.03,151203.33,162392.35,180449.54,206035.37,230449.35,262222.88,245439.17,230316.32,257566.41,253034.99,244908.29,250131.23
el Raval,Barri,113980.55,105059.24,111197.24,148830.39,154500.97,171658.29,229446.01,189957.14,185397.20,198808.77,202903.57,202318.11,192309.66
el Barri Gòtic,Barri,190196.31,219449.40,262301.47,254518.84,331210.16,378597.84,387396.47,352884.89,317406.41,382913.31,360511.89,327664.35,424651.94
la Barceloneta,Barri,124316.76,131076.04,135337.22,134457.13,162033.39,186651.37,198150.24,192624.65,186952.85,177461.10,193524.98,205486.57,195437.47
"Sant Pere, Santa Caterina i la Ribera",Barri,200609.56,184535.22,194205.08,219613.55,237917.08,281632.15,285871.92,304773.25,293307.84,306962.82,291511.77,287789.28,280152.49
Eixample,Districte,254283.93,248799.71,266900.00,279851.64,307582.42,368664.69,384277.02,370807.07,372468.09,376360.36,410076.59,447374.39,464560.98
el Fort Pienc,Barri,207467.15,200976.75,195819.97,228075.47,242710.62,282792.89,321030.38,308476.12,285571.43,306759.47,356564.51,342529.85,369492.27
la Sagrada Família,Barri,172115.13,178675.50,171987.19,190636.72,220974.76,274200.90,297727.99,273624.01,264073.06,281036.70,296183.36,305795.20,333806.07
la Dreta de l'Eixample,Barri,435426.47,402011.46,474226.15,458243.64,469231.01,622180.80,664173.26,574981.85,676261.77,573215.84,657909.70,718374.39,739223.80
l'Antiga Esquerra de l'Eixample,Barri,277053.29,243921.99,278709.76,296649.14,366596.87,407756.67,397601.19,406139.11,428932.57,443562.15,471973.23,496457.76,529352.13
la Nova Esquerra de l'Eixample,Barri,220541.32,211664.36,222545.22,240191.81,266263.29,289633.05,312940.51,324162.02,310406.54,332927.76,338046.76,357183.47,377396.16
Sant Antoni,Barri,204448.91,190875.77,211433.29,217325.15,236378.23,291127.52,321286.96,323969.55,316927.44,298605.17,322840.80,368729.60,370558.97
Sants-Montjuïc,Districte,134937.77,114342.79,141623.08,150443.63,162704.56,196843.73,222693.22,218531.55,218657.44,222717.58,234303.51,242021.45,243523.21
el Poble Sec - AEI Parc de Montjuïc,Barri,124170.44,108788.85,113141.61,135399.61,161798.34,202573.77,215707.86,228196.97,204857.75,219129.68,228227.26,240835.68,242848.22
la Marina del Prat Vermell - AEI Zona Franca,Barri,-,-,44791.42,114049.72,90869.04,115642.42,86907.65,83675.66,120871.43,98128.19,105905.55,-,255859.94
la Marina de Port,Barri,119055.08,108475.84,110588.95,163550.74,163090.27,165467.64,199108.04,202367.23,180586.22,196041.09,196517.44,208792.64,199824.35
la Font de la Guatlla,Barri,156103.24,140840.16,159439.72,186591.09,165066.24,212081.46,225862.48,220709.98,237809.18,267309.24,241533.34,257958.01,274155.98
Hostafrancs,Barri,166803.24,88409.27,128714.38,142795.11,154774.80,188358.19,240940.49,203099.74,245430.98,242573.10,244358.11,221662.75,264777.16
