Territori,Tipus de territori,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Catalunya,Comunitat Autònoma,-,-,-,-,-,552.01,602.76,645.36,677.99,650.33,614.55,599.16,571.22,542.18,539.54,557.50,595.66,654.83,698.36,735.36,734.33,724.09,779.84,835.22,845.27
Metropolità de Barcelona,Àmbit funcional territorial,-,-,-,-,-,596.00,651.30,708.69,749.17,720.79,687.28,670.76,639.87,603.67,603.47,634.95,685.38,753.31,800.68,844.29,842.23,821.66,889.37,960.56,979.46
Barcelona,Municipi,408.27,466.34,519.81,550.59,584.78,636.02,695.75,766.18,813.02,792.89,761.87,752.86,720.13,681.56,688.23,734.94,801.28,877.28,929.57,978.81,964.81,918.84,1026.86,1136.40,1156.22
Ciutat Vella,Districte,325.19,350.92,412.05,443.15,469.86,539.29,597.60,660.96,729.59,715.68,678.79,663.02,644.15,618.67,639.11,675.74,739.23,828.79,914.04,945.53,913.66,846.40,1008.35,1079.01,1071.96
el Raval,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,577.85,625.82,667.00,748.58,821.84,850.11,833.87,768.78,911.97,959.50,986.35
el Barri Gòtic,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,749.99,786.04,868.95,973.27,1024.78,1097.29,1035.78,947.07,1133.36,1265.38,1201.65
la Barceloneta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,563.08,602.62,667.34,745.81,899.37,895.90,867.95,827.09,944.03,991.03,1010.08
"Sant Pere, Santa Caterina i la Ribera",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,685.14,723.45,807.26,916.65,972.07,996.35,954.48,888.27,1070.02,1138.02,1147.66
Eixample,Districte,436.38,515.19,564.66,595.48,635.36,703.06,750.73,831.10,891.64,862.85,833.46,821.81,800.45,763.53,776.91,831.44,917.27,990.73,1038.38,1093.70,1075.44,1007.57,1140.42,1274.96,1295.64
el Fort Pienc,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,723.33,768.12,823.45,900.42,950.32,1012.41,1003.12,941.77,1071.52,1179.55,1182.44
la Sagrada Família,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,680.68,713.15,775.99,876.25,909.59,960.21,942.09,901.98,1019.40,1115.11,1155.18
la Dreta de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,945.88,1012.51,1138.08,1195.23,1254.59,1307.62,1273.50,1189.22,1389.98,1578.63,1575.96
l'Antiga Esquerra de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,843.86,911.14,979.20,1060.03,1113.08,1162.32,1155.78,1073.73,1201.08,1352.59,1378.19
la Nova Esquerra de l'Eixample,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,732.13,783.84,870.48,943.23,987.65,1053.83,1034.15,963.14,1069.60,1177.59,1227.66
Sant Antoni,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,711.37,765.61,842.47,900.48,934.34,994.91,971.88,928.49,1037.98,1134.06,1142.62
Sants-Montjuïc,Districte,336.56,381.93,437.04,453.74,498.79,558.73,620.93,668.85,725.94,698.86,671.91,671.60,633.08,596.42,598.43,624.52,678.78,763.17,803.74,841.49,846.88,799.69,916.86,1032.20,982.14
el Poble Sec - AEI Parc Montjuïc,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,582.60,612.15,669.53,749.52,801.81,837.05,827.43,780.11,881.29,937.28,968.73
la Marina del Prat Vermell - AEI Zona Franca,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,450,404.71,356.56,-,-,374.35,-,430.59,1456.60,1451.08,694.70
la Marina de Port,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,527.28,542.27,544.38,691.42,751.06,766.25,787.09,743.15,723.77,885.14,840.86
la Font de la Guatlla,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,644.64,695.20,737.15,811.08,839.71,865.92,859.28,826.71,928.16,1047.20,1057.03
Hostafrancs,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,593.91,624.65,687.85,747.09,796.27,830.56,852.27,789.78,879.98,967.86,959.04
la Bordeta,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,611.37,638.46,678.86,789.98,801.44,851.22,861.80,832.35,1124.52,1326.18,1171.68
Sants - Badal,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,597.28,626.57,691.17,759.18,784.54,851.58,845.39,793.28,881.06,981.50,977.21
Sants,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,624.12,653.30,711.32,787.23,826.18,877.79,874.47,828.99,906.89,1006.76,1023.42
Les Corts,Districte,567.73,627.00,621.48,667.71,705.08,742.43,829.15,955.43,990.58,933.72,908.94,891.45,867.36,826.71,853.00,925.45,985.94,1052.30,1089.53,1156.95,1112.50,1054.14,1185.71,1294.20,1370.36
les Corts,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,782.88,856.34,939.10,1002.47,1039.61,1097.24,1060.71,1015.00,1129.45,1215.76,1286.13
la Maternitat i Sant Ramon,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,760.26,756.62,847.88,925.16,973.55,1009.21,992.69,935.93,1068.72,1190.13,1190.57
Pedralbes,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1473.83,1729.95,1661.83,1785.63,1739.60,1860.56,1718.24,1699.09,1813.90,1952.00,2138.53
Sarrià-Sant Gervasi,Districte,631.19,659.92,742.94,762.15,823.76,863.57,917.66,1014.24,1081.91,1029.30,998.61,1017.11,984.44,935.47,978.02,1051.23,1144.71,1227.89,1268.92,1316.57,1305.73,1246.40,1384.06,1550.79,1624.23
"Vallvidrera, el Tibidabo i les Planes",Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1134.25,1006.53,1153.38,1220,937.55,1205.65,1233.07,1236.96,1107.02,1255.94,1442.22
Sarrià,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1041.15,1109.66,1187.49,1353.86,1368.51,1375.10,1366.24,1303.06,1431.69,1528.45,1559.77
les Tres Torres,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1323.89,1385.04,1515.00,1634.12,1599.89,1657.03,1696.12,1544.17,1807.02,1955.53,2049.26
Sant Gervasi - la Bonanova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,942.56,1046.44,1125.32,1236.68,1285.61,1304.34,1301.13,1216.91,1360.14,1507.67,1704.18
Sant Gervasi - Galvany,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1047.42,1156.26,1241.82,1311.47,1347.84,1397.27,1362.28,1355.48,1487.73,1696.01,1744.21
el Putxet i el Farró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,760.35,799.69,876.64,930.19,995.37,1086.42,1056.08,1003.63,1115.86,1255.39,1288.31
Gràcia,Districte,370.86,425.72,495.73,507.39,548.96,620.95,668.71,741.59,792.07,762.28,738.73,737.05,706.60,659.25,673.86,721.65,787.86,856.42,904.53,957.73,950.36,896.35,999.77,1117.96,1162.82
Vallcarca i els Penitents,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,665.48,735.76,787.70,910.93,925.02,972.22,982.49,941.49,1006.76,1137.67,1193.76
el Coll,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,555.87,557.00,620.03,724.94,740.36,801.98,809.27,762.60,808.04,922.23,931.44
la Salut,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,668.51,705.21,773.44,799.97,877.30,918.31,967.26,888.46,955.49,1090.36,1136.36
la Vila de Gràcia,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,681.71,733.12,799.64,860.63,915.88,962.95,953.38,900.77,1017.11,1125.77,1166.35
el Camp d'en Grassot i Gràcia Nova,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,683.32,725.40,803.49,864.07,908.89,983.36,953.07,892.02,1007.49,1138.44,1199.27
Horta-Guinardó,Districte,334.52,390.50,421.21,463.88,501.24,552.09,630.00,660.29,718.36,689.68,652.11,636.73,605.92,566.51,563.76,586.85,640.15,706.63,746.16,794.88,799.32,768.82,819.71,915.90,930.44
el Baix Guinardó,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,620.97,642.64,701.99,770.94,828.80,882.01,890.50,823.60,911.03,1028.55,1020.41
Can Baró,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,542.72,553.97,636.75,686.96,738.12,769.06,787.71,756.37,806.36,890.02,927.56
el Guinardó,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,581.39,612.90,666.44,736.91,771.48,819.05,822.90,809.12,847.08,964.50,976.08
la Font d'en Fargues,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,712.41,723.54,717.41,817.10,828.28,885.61,918.15,815.23,873.50,1057.51,1107.45
el Carmel,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,495.00,510.98,554.95,603.34,644.34,685.10,687.01,674.45,727.20,776.53,800.23
la Teixonera,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,486.44,519.68,578.63,648.90,701.69,738.87,718.38,714.78,779.33,847.18,869.71
Sant Genís dels Agudells,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,553.89,551.20,609.30,674.67,656.13,738.54,730.91,704.57,734.38,822.60,805.40
Montbau,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,552.54,630.37,644.26,724.77,737.83,793.93,784.56,740.43,793.69,896.20,914.20
la Vall d'Hebron,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,699.39,696.29,767.36,828.96,859.76,864.65,890.04,861.95,906.54,945.88,1028.06
la Clota,Barri,-,-,-,-,-,-,-,-,-,-,-,-,-,-,480,350.25,538.75,651.25,500.42,666.18,589.84,742.78,-,829.08,1039.75
