Territori,Tipus de territori,year,total_sale_price,price_per_m2
Ciutat Vella,Districte,2014,162392.35,2383.56
Eixample,Districte,2014,266900.00,2682.90
Les Corts,Districte,2014,311094.78,2981.29
Sarrià-Sant Gervasi,Districte,2014,418503.69,3108.13
Sant Martí,Districte,2014,186955.85,2168.54
Ciutat Vella,Districte,2015,180449.54,2705.46
Eixample,Districte,2015,279851.64,2983.03
Les Corts,Districte,2015,317182.57,3076.46
Sarrià-Sant Gervasi,Districte,2015,490866.27,3508.59
Sant Martí,Districte,2015,201206.80,2480.66
Ciutat Vella,Districte,2016,206035.37,2988.75
Eixample,Districte,2016,307582.42,3380.77
Les Corts,Districte,2016,319008.90,3283.75
Sarrià-Sant Gervasi,Districte,2016,503590.87,3749.52
Sant Martí,Districte,2016,190161.43,2458.14
Ciutat Vella,Districte,2017,230449.35,3457
Eixample,Districte,2017,368664.69,3868.65
Les Corts,Districte,2017,392211.01,3840.82
Sarrià-Sant Gervasi,Districte,2017,546217.87,4310.40
Sant Martí,Districte,2017,239498.88,3001.09
Ciutat Vella,Districte,2018,262222.88,3833.12
Eixample,Districte,2018,384277.02,4111.17
Les Corts,Districte,2018,428318.20,4204.24
Sarrià-Sant Gervasi,Districte,2018,605629.80,4710.31
Sant Martí,Districte,2018,235635.65,3070.03
Ciutat Vella,Districte,2019,245439.17,3592.33
Eixample,Districte,2019,370807.07,4032.45
Les Corts,Districte,2019,425592.93,3979.67
Sarrià-Sant Gervasi,Districte,2019,623128.88,4473.91
Sant Martí,Districte,2019,239972.08,3029.05
Ciutat Vella,Districte,2020,230316.32,3586.75
Eixample,Districte,2020,372468.09,3977.15
Les Corts,Districte,2020,443640.88,4105.19
Sarrià-Sant Gervasi,Districte,2020,609740.69,4387.83
Sant Martí,Districte,2020,241027.74,3040.11
Ciutat Vella,Districte,2021,257566.41,3514.58
Eixample,Districte,2021,376360.36,4033.66
Les Corts,Districte,2021,428046.31,4000.79
Sarrià-Sant Gervasi,Districte,2021,603100.48,4562.61
Sant Martí,Districte,2021,249376.34,3096.09
Ciutat Vella,Districte,2022,253034.99,3750.28
Eixample,Districte,2022,410076.59,4360.87
Les Corts,Districte,2022,443308.56,4167.07
Sarrià-Sant Gervasi,Districte,2022,665489.63,4804.44
Sant Martí,Districte,2022,290932.05,3493.80
Ciutat Vella,Districte,2023,244908.29,3749.11
Eixample,Districte,2023,447374.39,4582.18
Les Corts,Districte,2023,459832.95,4259.74
Sarrià-Sant Gervasi,Districte,2023,697085.80,5049.24
Sant Martí,Districte,2023,277979.12,3378.45
Ciutat Vella,Districte,2024,250131.23,3656.76
Eixample,Districte,2024,464560.98,4773.67
Les Corts,Districte,2024,493310.69,4614.73
Sarrià-Sant Gervasi,Districte,2024,723918.60,5165.03
Sant Martí,Districte,2024,288648.55,3598.08
