Territori,Tipus de territori,year,price_per_m2,total_rent_price
Barcelona,Municipi,2014,10.16,688.23
Ciutat Vella,Districte,2014,11.38,639.11
el Raval,Barri,2014,10.47,577.85
el Barri Gòtic,Barri,2014,10.54,749.99
la Barceloneta,Barri,2014,15.15,563.08
"Sant Pere, Santa Caterina i la Ribera",Barri,2014,11.24,685.14
Eixample,Districte,2014,10.28,776.91
el Fort Pienc,Barri,2014,9.98,723.33
la Sagrada Família,Barri,2014,10.46,680.68
la Dreta de l'Eixample,Barri,2014,10.06,945.88
l'Antiga Esquerra de l'Eixample,Barri,2014,10.48,843.86
la Nova Esquerra de l'Eixample,Barri,2014,10.42,732.13
Sant Antoni,Barri,2014,10.01,711.37
Sants-Montjuïc,Districte,2014,9.89,598.43
el Poble Sec - AEI Parc Montjuïc,Barri,2014,10.19,582.6
la Marina del Prat Vermell - AEI Zona Franca,Barri,2014,5.36,450.0
la Marina de Port,Barri,2014,7.99,527.28
la Font de la Guatlla,Barri,2014,10.62,644.64
Hostafrancs,Barri,2014,10.27,593.91
la Bordeta,Barri,2014,9.31,611.37
Sants - Badal,Barri,2014,9.94,597.28
Sants,Barri,2014,10.07,624.12
Les Corts,Districte,2014,11.01,853.0
les Corts,Barri,2014,11.07,782.88
la Maternitat i Sant Ramon,Barri,2014,10.38,760.26
Pedralbes,Barri,2014,12.33,1473.83
Sarrià-Sant Gervasi,Districte,2014,11.86,978.02
"Vallvidrera, el Tibidabo i les Planes",Barri,2014,10.6,1134.25
Sarrià,Barri,2014,13.59,1041.15
les Tres Torres,Barri,2014,13.52,1323.89
Sant Gervasi - la Bonanova,Barri,2014,11.55,942.56
Sant Gervasi - Galvany,Barri,2014,11.69,1047.42
el Putxet i el Farró,Barri,2014,11.01,760.35
Gràcia,Districte,2014,10.77,673.86
Vallcarca i els Penitents,Barri,2014,10.26,665.48
el Coll,Barri,2014,9.52,555.87
la Salut,Barri,2014,9.97,668.51
la Vila de Gràcia,Barri,2014,11.25,681.71
el Camp d'en Grassot i Gràcia Nova,Barri,2014,10.36,683.32
Horta-Guinardó,Districte,2014,9.03,563.76
el Baix Guinardó,Barri,2014,9.56,620.97
Can Baró,Barri,2014,9.42,542.72
el Guinardó,Barri,2014,9.18,581.39
la Font d'en Fargues,Barri,2014,9.26,712.41
el Carmel,Barri,2014,8.63,495.0
la Teixonera,Barri,2014,8.35,486.44
Sant Genís dels Agudells,Barri,2014,7.75,553.89
Montbau,Barri,2014,9.27,552.54
la Vall d'Hebron,Barri,2014,9.95,699.39
la Clota,Barri,2014,10.45,480.0
Horta,Barri,2014,8.94,567.24
Nou Barris,Districte,2014,8.4,499.31
Vilapicina i la Torre Llobeta,Barri,2014,8.8,568.23
Porta,Barri,2014,8.64,529.55
el Turó de la Peira,Barri,2014,7.81,473.16
Can Peguera,Barri,2014,5.29,221.13
la Guineueta,Barri,2014,8.21,614.56
Canyelles,Barri,2014,6.98,536.41
les Roquetes,Barri,2014,8.33,450.76
Verdun,Barri,2014,9.22,487.88
la Prosperitat,Barri,2014,8.9,504.86
la Trinitat Nova,Barri,2014,8.54,434.42
Torre Baró,Barri,2014,5.92,334.46
Ciutat Meridiana,Barri,2014,6.38,372.85
Vallbona,Barri,2014,4.25,281.71
Sant Andreu Districte,-,2014,8.86,575.16
la Trinitat Vella,Barri,2014,6.98,422.91
Baró de Viver,Barri,2014,3.92,241.15
el Bon Pastor,Barri,2014,8.05,496.58
Sant Andreu (Barri),-,2014,9.19,576.6
la Sagrera,Barri,2014,9.05,607.04
el Congrés i els Indians,Barri,2014,9.24,583.67
Navas,Barri,2014,8.91,623.78
Sant Martí,Districte,2014,9.75,640.81
el Camp de l'Arpa del Clot,Barri,2014,9.74,598.82
el Clot,Barri,2014,9.63,624.84
el Parc i la Llacuna del Poblenou,Barri,2014,10.24,693.72
la Vila Olímpica del Poblenou,Barri,2014,13.18,1003.24
el Poblenou,Barri,2014,10.57,654.35
Diagonal Mar i el Front Marítim del Poblenou,Barri,2014,11.18,892.03
el Besòs i el Maresme,Barri,2014,7.74,477.06
Provençals del Poblenou,Barri,2014,9.67,639.55
Sant Martí de Provençals,Barri,2014,8.88,633.78
la Verneda i la Pau,Barri,2014,8.32,565.47
Barcelona,Municipi,2015,11.09,734.94
Ciutat Vella,Districte,2015,12.45,675.74
el Raval,Barri,2015,11.1,625.82
el Barri Gòtic,Barri,2015,11.21,786.04
la Barceloneta,Barri,2015,16.33,602.62
"Sant Pere, Santa Caterina i la Ribera",Barri,2015,12.7,723.45
Eixample,Districte,2015,11.18,831.44
el Fort Pienc,Barri,2015,10.89,768.12
la Sagrada Família,Barri,2015,11.11,713.15
la Dreta de l'Eixample,Barri,2015,11.29,1012.51
l'Antiga Esquerra de l'Eixample,Barri,2015,11.37,911.14
la Nova Esquerra de l'Eixample,Barri,2015,11.27,783.84
Sant Antoni,Barri,2015,10.96,765.61
Sants-Montjuïc,Districte,2015,10.66,624.52
el Poble Sec - AEI Parc Montjuïc,Barri,2015,11.09,612.15
la Marina del Prat Vermell - AEI Zona Franca,Barri,2015,6.61,404.71
la Marina de Port,Barri,2015,8.36,542.27
la Font de la Guatlla,Barri,2015,11.33,695.2
Hostafrancs,Barri,2015,11.12,624.65
la Bordeta,Barri,2015,9.84,638.46
Sants - Badal,Barri,2015,10.74,626.57
Sants,Barri,2015,10.99,653.3
Les Corts,Districte,2015,11.97,925.45
les Corts,Barri,2015,11.85,856.34
la Maternitat i Sant Ramon,Barri,2015,11.42,756.62
Pedralbes,Barri,2015,14.15,1729.95
Sarrià-Sant Gervasi,Districte,2015,12.96,1051.23
"Vallvidrera, el Tibidabo i les Planes",Barri,2015,12.1,1006.53
Sarrià,Barri,2015,14.54,1109.66
les Tres Torres,Barri,2015,13.97,1385.04
Sant Gervasi - la Bonanova,Barri,2015,12.82,1046.44
Sant Gervasi - Galvany,Barri,2015,12.73,1156.26
el Putxet i el Farró,Barri,2015,12.33,799.69
Gràcia,Districte,2015,11.82,721.65
Vallcarca i els Penitents,Barri,2015,11.55,735.76
el Coll,Barri,2015,9.9,557.0
la Salut,Barri,2015,11.28,705.21
la Vila de Gràcia,Barri,2015,12.3,733.12
el Camp d'en Grassot i Gràcia Nova,Barri,2015,11.33,725.4
Horta-Guinardó,Districte,2015,9.92,586.85
el Baix Guinardó,Barri,2015,10.57,642.64
Can Baró,Barri,2015,10.09,553.97
el Guinardó,Barri,2015,10.36,612.9
la Font d'en Fargues,Barri,2015,11.37,723.54
el Carmel,Barri,2015,9.11,510.98
la Teixonera,Barri,2015,9.51,519.68
Sant Genís dels Agudells,Barri,2015,8.32,551.2
Montbau,Barri,2015,10.07,630.37
la Vall d'Hebron,Barri,2015,10.07,696.29
la Clota,Barri,2015,7.97,350.25
Horta,Barri,2015,9.52,579.9
Nou Barris,Districte,2015,8.87,518.8
Vilapicina i la Torre Llobeta,Barri,2015,9.32,586.63
Porta,Barri,2015,9.1,555.04
el Turó de la Peira,Barri,2015,8.34,504.34
Can Peguera,Barri,2015,5.79,211.35
la Guineueta,Barri,2015,8.17,562.81
Canyelles,Barri,2015,7.21,563.96
les Roquetes,Barri,2015,8.72,463.73
Verdun,Barri,2015,9.14,470.4
la Prosperitat,Barri,2015,9.63,530.26
la Trinitat Nova,Barri,2015,8.79,448.32
Torre Baró,Barri,2015,6.06,404.92
Ciutat Meridiana,Barri,2015,6.62,396.43
Vallbona,Barri,2015,6.66,415.08
Sant Andreu Districte,-,2015,9.61,611.0
la Trinitat Vella,Barri,2015,8.01,441.48
Baró de Viver,Barri,2015,4.78,287.39
el Bon Pastor,Barri,2015,8.82,537.28
Sant Andreu (Barri),-,2015,10.03,613.34
la Sagrera,Barri,2015,9.73,636.6
el Congrés i els Indians,Barri,2015,9.45,610.94
Navas,Barri,2015,9.73,672.02
Sant Martí,Districte,2015,10.64,700.56
el Camp de l'Arpa del Clot,Barri,2015,10.63,644.01
el Clot,Barri,2015,10.31,651.6
el Parc i la Llacuna del Poblenou,Barri,2015,11.49,748.85
la Vila Olímpica del Poblenou,Barri,2015,14.29,1104.48
el Poblenou,Barri,2015,11.73,735.04
Diagonal Mar i el Front Marítim del Poblenou,Barri,2015,12.49,1059.75
el Besòs i el Maresme,Barri,2015,8.38,506.71
Provençals del Poblenou,Barri,2015,9.96,661.38
Sant Martí de Provençals,Barri,2015,9.4,673.92
la Verneda i la Pau,Barri,2015,9.1,610.72
Barcelona,Municipi,2016,12.22,801.28
Ciutat Vella,Districte,2016,13.9,739.23
el Raval,Barri,2016,12.26,667.0
el Barri Gòtic,Barri,2016,13.04,868.95
la Barceloneta,Barri,2016,18.18,667.34
"Sant Pere, Santa Caterina i la Ribera",Barri,2016,14.09,807.26
Eixample,Districte,2016,12.39,917.27
el Fort Pienc,Barri,2016,11.76,823.45
la Sagrada Família,Barri,2016,12.2,775.99
la Dreta de l'Eixample,Barri,2016,12.86,1138.08
l'Antiga Esquerra de l'Eixample,Barri,2016,12.73,979.2
