Territori,Tipus de territori,year,total_sale_price,price_per_m2
Barcelona,Municipi,2014,212220.89,2304.15
Ciutat Vella,Districte,2014,162392.35,2383.56
el Raval,Barri,2014,111197.24,1807.06
el Barri Gòtic,Barri,2014,262301.47,2715.61
la Barceloneta,Barri,2014,135337.22,3130.85
"Sant Pere,Santa Caterina i la Ribera",Barri,2014,194205.08,2566.07
Eixample,Districte,2014,266900.00,2682.90
el Fort Pienc,Barri,2014,195819.97,2426.46
la Sagrada Família,Barri,2014,171987.19,2242.02
la Dreta de l'Eixample,Barri,2014,474226.15,3325.70
l'Antiga Esquerra de l'Eixample,Barri,2014,278709.76,2873.78
la Nova Esquerra de l'Eixample,Barri,2014,222545.22,2625.19
Sant Antoni,Barri,2014,211433.29,2404.33
Sants-Montjuïc,Districte,2014,141623.08,1842.97
el Poble Sec - AEI Parc de Montjuïc,Barri,2014,113141.61,1753.90
la Marina del Prat Vermell - AEI Zona Franca,Barri,2014,44791.42,557.33
la Marina de Port,Barri,2014,110588.95,1518.02
la Font de la Guatlla,Barri,2014,159439.72,2028.79
Hostafrancs,Barri,2014,128714.38,1956.09
la Bordeta,Barri,2014,258485.51,1794.01
Sants - Badal,Barri,2014,137047.38,1953.81
Sants,Barri,2014,152621.12,2115.02
Les Corts,Districte,2014,311094.78,2981.29
les Corts,Barri,2014,258340.66,2846.48
la Maternitat i Sant Ramon,Barri,2014,231569.73,2560.53
Pedralbes,Barri,2014,569224.02,3914.31
Sarrià-Sant Gervasi,Districte,2014,418503.69,3108.13
"Vallvidrera,el Tibidabo i les Planes",Barri,2014,333681.61,2160.21
Sarrià,Barri,2014,387789.13,3450.44
les Tres Torres,Barri,2014,525276.24,3569.28
Sant Gervasi - la Bonanova,Barri,2014,431597.58,3126.69
Sant Gervasi - Galvany,Barri,2014,465329.08,3075.08
el Putxet i el Farró,Barri,2014,261990.84,2630.58
Gràcia,Districte,2014,195260.51,2374.33
Vallcarca i els Penitents,Barri,2014,191619.25,2267.56
el Coll,Barri,2014,142163.57,1788.03
la Salut,Barri,2014,215222.13,2246.23
la Vila de Gràcia,Barri,2014,196291.63,2479.48
el Camp d'en Grassot i Gràcia Nova,Barri,2014,197413.47,2406.20
Horta-Guinardó,Districte,2014,135094.05,1776.13
el Baix Guinardó,Barri,2014,153181.89,2117.62
Can Baró,Barri,2014,137833.54,1762.54
el Guinardó,Barri,2014,132975.37,1835.60
la Font d'en Fargues,Barri,2014,204230.43,2118.81
el Carmel,Barri,2014,125216.61,1384.01
la Teixonera,Barri,2014,95941.48,1441.47
Sant Genís dels Agudells,Barri,2014,79210,1306.60
Montbau,Barri,2014,108851.85,1597.96
la Vall d'Hebron,Barri,2014,138669.66,2075.69
la Clota,Barri,2014,126724.87,872.87
Horta,Barri,2014,125581.03,1744.97
Nou Barris,Districte,2014,91864.62,1398.11
Vilapicina i la Torre Llobeta,Barri,2014,112933.38,1639.98
Porta,Barri,2014,113414.83,1690.73
el Turó de la Peira,Barri,2014,89439.34,1340.14
Can Peguera,Barri,2014,,
la Guineueta,Barri,2014,128452.48,1760.36
Canyelles,Barri,2014,76235.90,1186.24
les Roquetes,Barri,2014,66487.86,1126.07
Verdun,Barri,2014,83841.60,1367.57
la Prosperitat,Barri,2014,92247.96,1477.40
la Trinitat Nova,Barri,2014,55227.61,950.76
Torre Baró,Barri,2014,,
Ciutat Meridiana,Barri,2014,40800.74,689.57
Vallbona,Barri,2014,,
Sant Andreu Districte,,2014,130934.07,1823.08
la Trinitat Vella,Barri,2014,61500.99,1039.54
Baró de Viver,Barri,2014,31583.99,438.50
el Bon Pastor,Barri,2014,94859.30,1540.22
Sant Andreu (Barri),,2014,145584.33,1940.34
la Sagrera,Barri,2014,140775.29,2042.57
el Congrés i els Indians,Barri,2014,113337.02,1551.91
Navas,Barri,2014,132313.21,1798.61
Sant Martí,Districte,2014,186955.85,2168.54
el Camp de l'Arpa del Clot,Barri,2014,141463.02,2006.01
el Clot,Barri,2014,154239.64,1985.16
el Parc i la Llacuna del Poblenou,Barri,2014,162578.74,2070.76
la Vila Olímpica del Poblenou,Barri,2014,344706.50,2986.34
el Poblenou,Barri,2014,204704.05,2550.99
Diagonal Mar i el Front Marítim del Poblenou,Barri,2014,315335.12,2970.68
el Besòs i el Maresme,Barri,2014,75003.18,1212.03
Provençals del Poblenou,Barri,2014,132820.22,1756.13
Sant Martí de Provençals,Barri,2014,114218.02,1543.70
la Verneda i la Pau,Barri,2014,105756.27,1522.60
Barcelona,Municipi,2015,225424.08,2557.81
Ciutat Vella,Districte,2015,180449.54,2705.46
el Raval,Barri,2015,148830.39,2345.31
el Barri Gòtic,Barri,2015,254518.84,2749.99
la Barceloneta,Barri,2015,134457.13,3021.22
"Sant Pere,Santa Caterina i la Ribera",Barri,2015,219613.55,2980.33
Eixample,Districte,2015,279851.64,2983.03
el Fort Pienc,Barri,2015,228075.47,2766.65
la Sagrada Família,Barri,2015,190636.72,2581.22
la Dreta de l'Eixample,Barri,2015,458243.64,3622.76
l'Antiga Esquerra de l'Eixample,Barri,2015,296649.14,3203.90
la Nova Esquerra de l'Eixample,Barri,2015,240191.81,2877.24
Sant Antoni,Barri,2015,217325.15,2623.38
Sants-Montjuïc,Districte,2015,150443.63,2165.93
el Poble Sec - AEI Parc de Montjuïc,Barri,2015,135399.61,2160.25
la Marina del Prat Vermell - AEI Zona Franca,Barri,2015,114049.72,1436.33
la Marina de Port,Barri,2015,163550.74,2046.25
la Font de la Guatlla,Barri,2015,186591.09,2218.51
Hostafrancs,Barri,2015,142795.11,2053.58
la Bordeta,Barri,2015,151404.88,2175.22
Sants - Badal,Barri,2015,144615.77,2079.78
Sants,Barri,2015,162505.01,2349.03
Les Corts,Districte,2015,317182.57,3076.46
les Corts,Barri,2015,266110.85,2913.00
la Maternitat i Sant Ramon,Barri,2015,246898.35,2952.62
Pedralbes,Barri,2015,628701.93,3892.90
Sarrià-Sant Gervasi,Districte,2015,490866.27,3508.59
"Vallvidrera,el Tibidabo i les Planes",Barri,2015,,
Sarrià,Barri,2015,438232.01,3785.28
les Tres Torres,Barri,2015,648909.64,4049.57
Sant Gervasi - la Bonanova,Barri,2015,455200.26,3501.57
Sant Gervasi - Galvany,Barri,2015,569694.40,3604.17
el Putxet i el Farró,Barri,2015,308911.16,2867.40
Gràcia,Districte,2015,196876.99,2574.77
Vallcarca i els Penitents,Barri,2015,212666.26,2539.28
el Coll,Barri,2015,150458.54,2021.80
la Salut,Barri,2015,217166.78,2543.46
la Vila de Gràcia,Barri,2015,195027.18,2615.30
el Camp d'en Grassot i Gràcia Nova,Barri,2015,193411.47,2640.42
Horta-Guinardó,Districte,2015,148992.98,2069.91
el Baix Guinardó,Barri,2015,177593.25,2444.70
Can Baró,Barri,2015,116947.01,1826.57
el Guinardó,Barri,2015,157111.51,2131.89
la Font d'en Fargues,Barri,2015,214499.33,2111.62
el Carmel,Barri,2015,126556.52,1910.77
la Teixonera,Barri,2015,95729.46,1605.24
Sant Genís dels Agudells,Barri,2015,139825.14,2020.61
Montbau,Barri,2015,124585.32,1973.74
la Vall d'Hebron,Barri,2015,157423.14,2502
la Clota,Barri,2015,148939.83,1709.29
Horta,Barri,2015,135323.09,1910.31
Nou Barris,Districte,2015,128125.18,1759.36
Vilapicina i la Torre Llobeta,Barri,2015,132237.62,1884.82
Porta,Barri,2015,137620.40,1942.38
el Turó de la Peira,Barri,2015,118613.22,1941.16
Can Peguera,Barri,2015,,
la Guineueta,Barri,2015,138768.80,1756.01
Canyelles,Barri,2015,111483.37,1531.74
les Roquetes,Barri,2015,107030.55,1485.97
Verdun,Barri,2015,112217.32,1832.10
la Prosperitat,Barri,2015,111333.38,1878.76
la Trinitat Nova,Barri,2015,104753.87,1403.03
Torre Baró,Barri,2015,,
Ciutat Meridiana,Barri,2015,225841.50,1482.05
Vallbona,Barri,2015,103000,1929.40
Sant Andreu Districte,,2015,158527.25,1990.36
la Trinitat Vella,Barri,2015,173194.41,1658.26
Baró de Viver,Barri,2015,51014.39,634.31
el Bon Pastor,Barri,2015,242114.38,1619.74
Sant Andreu (Barri),,2015,149868.38,2023.96
la Sagrera,Barri,2015,150133.43,2173.23
el Congrés i els Indians,Barri,2015,138233.66,1919.10
Navas,Barri,2015,164694.01,2201.83
Sant Martí,Districte,2015,201206.80,2480.66
el Camp de l'Arpa del Clot,Barri,2015,159139.47,2314.66
el Clot,Barri,2015,156427.96,2145.04
el Parc i la Llacuna del Poblenou,Barri,2015,209715.61,2785.36
la Vila Olímpica del Poblenou,Barri,2015,320822.91,3296.34
el Poblenou,Barri,2015,211171.37,2717.55
Diagonal Mar i el Front Marítim del Poblenou,Barri,2015,535134.05,5118.35
el Besòs i el Maresme,Barri,2015,143559.24,1743.15
Provençals del Poblenou,Barri,2015,165169.57,2091.37
Sant Martí de Provençals,Barri,2015,138893.56,1908.66
la Verneda i la Pau,Barri,2015,154149.79,1842.44
Barcelona,Municipi,2016,231972.37,2712.51
Ciutat Vella,Districte,2016,206035.37,2988.75
el Raval,Barri,2016,154500.97,2466.99
el Barri Gòtic,Barri,2016,331210.16,3456.32
la Barceloneta,Barri,2016,162033.39,3502.87
"Sant Pere,Santa Caterina i la Ribera",Barri,2016,237917.08,3239.15
Eixample,Districte,2016,307582.42,3380.77
el Fort Pienc,Barri,2016,242710.62,2933.03
la Sagrada Família,Barri,2016,220974.76,2995.36
la Dreta de l'Eixample,Barri,2016,469231.01,4229.16
l'Antiga Esquerra de l'Eixample,Barri,2016,366596.87,3688.83
la Nova Esquerra de l'Eixample,Barri,2016,266263.29,3171.74
Sant Antoni,Barri,2016,236378.23,2985.53
Sants-Montjuïc,Districte,2016,162704.56,2353.76
el Poble Sec - AEI Parc de Montjuïc,Barri,2016,161798.34,2587.60
la Marina del Prat Vermell - AEI Zona Franca,Barri,2016,90869.04,1100
la Marina de Port,Barri,2016,163090.27,1982.96
la Font de la Guatlla,Barri,2016,165066.24,2247.74
Hostafrancs,Barri,2016,154774.80,2229.53
la Bordeta,Barri,2016,138829.29,2054.92
Sants - Badal,Barri,2016,166182.89,2401.72
Sants,Barri,2016,175450.38,2512.32
Les Corts,Districte,2016,319008.90,3283.75
les Corts,Barri,2016,279559.62,3449.65
